,site_name,site_city,site_county,site_zip,site_setting,number_sessions,num_volunteers,total_volunteer_hours,participants_total,participants_gender_male,participants_gender_female,participants_gender_non_binary,participants_gender_prefer_not_to_respond,participants_age_youth,participants_age_lt5,participants_age_5to7,participants_age_8to10,participants_age_11to13,participants_age_14to17,participants_age_18to29,participants_age_30to59,participants_age_60to75,participants_age_76plus,participants_age_adult,participants_ethnicity_hispanic,participants_ethnicity_non_hispanic,participants_ethnicity_prefer_not_to_respond,participants_ethnicity_unknown,participants_amerind_onerace_total,participants_amerind_multirace_total,participants_asian_onerace_total,participants_asian_multirace_total,participants_black_onerace_total,participants_black_multirace_total,participants_hawpac_onerace_total,participants_hawpac_multirace_total,,participants_white_multirace_total,participants_race_amerind,participants_race_asian,participants_race_black,participants_race_hawpac,participants_race_white,participants_race_two_or_more,participants_race_prefer_not_to_respond,participants_race_unknown
11,Pearl Sample Elementary,Culpeper,Culpeper,22701,"Schools (K-12, elementary, middle, and high)",6,NA,NA,18,11,7,NA,NA,18,NA,18,NA,NA,NA,0,0,NA,NA,NA,6,12,NA,NA,0,0,0,0,0,0,0,0,0,0,1,NA,5,NA,6,0,NA,6
12,Chilhowie Elementary School,Chilhowie,Smyth,24319,"Schools (K-12, elementary, middle, and high)",6,1,6,19,11,8,NA,NA,19,NA,19,NA,NA,NA,0,0,NA,NA,NA,NA,19,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,17,0,NA,1
13,Chilhowie Elementary School,Chilhowie,Smyth,24319,"Schools (K-12, elementary, middle, and high)",6,1,6,18,10,8,NA,NA,18,NA,18,NA,NA,NA,0,0,NA,NA,NA,1,17,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,16,0,NA,NA
14,Chilhowie Elementary School,Chilhowie,Smyth,24319,"Schools (K-12, elementary, middle, and high)",6,1,6,20,10,10,NA,NA,20,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,20,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,19,0,NA,NA
15,Chilhowie Elementary School,Chilhowie,Smyth,24319,"Schools (K-12, elementary, middle, and high)",6,1,6,15,9,6,NA,NA,15,NA,15,NA,NA,NA,0,0,NA,NA,NA,3,12,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,14,0,NA,NA
16,Chilhowie Elementary School,Chilhowie,Smyth,24319,"Schools (K-12, elementary, middle, and high)",6,1,6,20,11,9,NA,NA,20,NA,20,NA,NA,NA,0,0,NA,NA,NA,NA,20,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,20,0,NA,NA
17,Chilhowie Elementary School,Chilhowie,Smyth,24319,"Schools (K-12, elementary, middle, and high)",6,1,6,19,8,11,NA,NA,19,NA,19,NA,NA,NA,0,0,NA,NA,NA,NA,19,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,19,0,NA,NA
18,Saltville Elementary School,Saltville,Smyth,24370,"Schools (K-12, elementary, middle, and high)",6,1,6,14,8,6,NA,NA,14,NA,14,NA,NA,NA,0,0,NA,NA,NA,NA,14,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,12,0,NA,2
19,Marion Elementary School,Marion,Smyth,24354,"Schools (K-12, elementary, middle, and high)",6,1,6,21,11,10,NA,NA,21,NA,21,NA,NA,NA,0,0,NA,NA,NA,1,20,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,16,0,NA,3
20,Oak Point Elementary,Marion,Smyth,24354,"Schools (K-12, elementary, middle, and high)",6,1,6,19,12,7,NA,NA,19,NA,19,NA,NA,NA,0,0,NA,NA,NA,1,18,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,16,0,NA,1
21,Pearl Sample Elementary,Culpeper,Culpeper,22701,"Schools (K-12, elementary, middle, and high)",6,NA,NA,19,11,8,NA,NA,19,NA,NA,NA,NA,NA,0,0,NA,NA,NA,3,16,NA,NA,0,0,0,0,0,0,0,0,0,0,1,NA,2,NA,12,0,NA,4
22,Louisa VCE,Louisa,Louisa,23093,Extension offices,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Pearl Sample Elementary,Culpeper,Culpeper,22701,"Schools (K-12, elementary, middle, and high)",6,NA,NA,18,5,13,NA,NA,18,NA,18,NA,NA,NA,0,0,NA,NA,NA,3,15,NA,NA,0,0,0,0,0,0,0,0,0,0,1,NA,6,NA,7,0,NA,4
24,Nelson Middle School,Lovingston,Nelson,22949,"Schools (K-12, elementary, middle, and high)",6,1,6,10,5,5,NA,NA,10,NA,NA,NA,10,NA,0,0,NA,NA,NA,4,6,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,4,0,NA,4
25,Chilhowie Elementary School,Chilhowie,Smyth,24319,"Schools (K-12, elementary, middle, and high)",6,1,6,19,10,9,NA,NA,19,NA,19,NA,NA,NA,0,0,NA,NA,NA,1,18,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,18,0,NA,NA
26,Chilhowie Elementary School,Chilhowie,Smyth,24319,"Schools (K-12, elementary, middle, and high)",6,1,6,19,9,10,NA,NA,19,NA,19,NA,NA,NA,0,0,NA,NA,NA,NA,19,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,19,0,NA,NA
27,Saltville Elementary School,Saltville,Smyth,24370,"Schools (K-12, elementary, middle, and high)",6,1,6,17,5,12,NA,NA,17,NA,17,NA,NA,NA,0,0,NA,NA,NA,1,16,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,17,0,NA,NA
28,Marion Elementary School,Marion,Smyth,24354,"Schools (K-12, elementary, middle, and high)",6,1,6,21,13,8,NA,NA,21,NA,21,NA,NA,NA,0,0,NA,NA,NA,NA,21,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,19,0,NA,NA
29,Marion Elementary School,Marion,Smyth,24354,"Schools (K-12, elementary, middle, and high)",6,1,6,21,12,9,NA,NA,21,NA,21,NA,NA,NA,0,0,NA,NA,NA,NA,21,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,19,0,NA,NA
30,Rich Valley Elementary,Saltville,Smyth,24370,"Schools (K-12, elementary, middle, and high)",6,1,6,18,10,8,NA,NA,18,NA,18,NA,NA,NA,0,0,NA,NA,NA,NA,18,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,18,0,NA,NA
31,Sugar Grove Elementary School,Marion,Smyth,24354,"Schools (K-12, elementary, middle, and high)",6,1,6,13,6,7,NA,NA,13,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,13,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,13,0,NA,NA
32,Sugar Grove Elementary School,Marion,Smyth,24354,"Schools (K-12, elementary, middle, and high)",6,1,6,14,7,7,NA,NA,14,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,14,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,14,0,NA,NA
33,Marion Elementary School,Marion,Smyth,24354,"Schools (K-12, elementary, middle, and high)",6,1,6,14,7,7,NA,NA,14,NA,14,NA,NA,NA,0,0,NA,NA,NA,NA,14,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,14,0,NA,NA
34,marion elementary school,Marion,Smyth,24354,"Schools (K-12, elementary, middle, and high)",6,1,6,16,9,7,NA,NA,16,NA,16,NA,NA,NA,0,0,NA,NA,NA,NA,16,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,16,0,NA,NA
35,Pearl Sample Elementary,Culpeper,Culpeper,22701,"Schools (K-12, elementary, middle, and high)",6,NA,NA,19,9,10,NA,NA,19,NA,19,NA,NA,NA,0,0,NA,NA,NA,6,13,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,11,0,NA,6
36,Nelson Middle School,Lovingston,Nelson,22949,"Schools (K-12, elementary, middle, and high)",6,1,6,11,6,5,NA,NA,11,NA,NA,NA,11,NA,0,0,NA,NA,NA,3,8,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,8,0,3,NA
37,Pearl Sample Elementary,Culpeper,Culpeper,22701,"Schools (K-12, elementary, middle, and high)",6,NA,NA,17,5,12,NA,NA,17,NA,17,NA,NA,NA,0,0,NA,NA,NA,7,10,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,10,0,NA,7
38,Pearl Sample Elementary,Culpeper,Culpeper,22701,"Schools (K-12, elementary, middle, and high)",6,NA,NA,18,8,10,NA,NA,18,NA,18,NA,NA,NA,0,0,NA,NA,NA,3,15,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,5,NA,10,0,NA,3
39,Pearl Sample Elementary,Culpeper,Culpeper,22701,"Schools (K-12, elementary, middle, and high)",6,NA,NA,18,9,9,NA,NA,18,NA,18,NA,NA,NA,0,0,NA,NA,NA,5,13,NA,NA,0,0,0,0,0,0,0,0,0,0,2,NA,5,NA,6,0,NA,5
40,Pearl Sample Elementary,Culpeper,Culpeper,22701,"Schools (K-12, elementary, middle, and high)",6,NA,NA,22,10,12,NA,NA,22,NA,22,NA,NA,NA,0,0,NA,NA,NA,9,13,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,1,3,NA,8,0,NA,10
41,Pearl Sample Elementary,Culpeper,Culpeper,22701,"Schools (K-12, elementary, middle, and high)",6,NA,NA,19,9,10,NA,NA,19,NA,19,NA,NA,NA,0,0,NA,NA,NA,5,14,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,12,0,NA,5
42,Pearl Sample Elementary,Culpeper,Culpeper,22701,"Schools (K-12, elementary, middle, and high)",6,NA,NA,21,8,13,NA,NA,21,NA,21,NA,NA,NA,0,0,NA,NA,NA,4,17,NA,NA,0,0,0,0,0,0,0,0,0,0,1,NA,3,NA,13,0,NA,4
43,Pearl Sample Elementary,Culpeper,Culpeper,22701,"Schools (K-12, elementary, middle, and high)",6,NA,NA,21,6,15,NA,NA,21,NA,21,NA,NA,NA,0,0,NA,NA,NA,8,13,NA,NA,0,0,0,0,0,0,0,0,0,0,1,NA,2,NA,10,0,NA,8
44,Penino Buidling,Fairfax,Fairfax,22035,"Other places people go to ""work""",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Pearl Sample Elementary,Culpeper,Culpeper,22701,"Schools (K-12, elementary, middle, and high)",6,NA,NA,22,10,12,NA,NA,22,NA,22,NA,NA,NA,0,0,NA,NA,NA,0,22,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,7,NA,15,0,NA,NA
46,Pearl Sample Elementary,Culpeper,Culpeper,22701,"Schools (K-12, elementary, middle, and high)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Eureka Elementary School,Keysville,Charlotte,23947,"Schools (K-12, elementary, middle, and high)",6,1,6,17,7,10,NA,NA,17,NA,17,NA,NA,NA,0,0,NA,NA,NA,0,17,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,7,NA,11,0,NA,NA
48,Twin Valley E/M School,Grundy,Buchanan,24631,"Schools (K-12, elementary, middle, and high)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Patrick County Extension Office,Stuart,Patrick,24171,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Eureka Elementary School,Keysville,Charlotte,23947,"Schools (K-12, elementary, middle, and high)",6,1,6,18,6,12,NA,NA,18,NA,18,NA,NA,NA,0,0,NA,NA,NA,0,18,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,5,NA,14,0,NA,NA
51,Boys & Girls Club Danville,Danville,Danville,24541,Community organizations,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,Hurley Elementary/Middle,Hurley,Buchanan,24620,"Schools (K-12, elementary, middle, and high)",6,1,6,16,10,6,NA,NA,16,NA,16,NA,NA,NA,0,0,NA,NA,NA,NA,16,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,16,0,NA,NA
53,Hurley Elementary/Middle,Hurley,Buchanan,24620,"Schools (K-12, elementary, middle, and high)",6,1,6,14,10,4,NA,NA,14,NA,14,NA,NA,NA,0,0,NA,NA,NA,NA,14,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,13,0,NA,NA
54,Hurley Elementary/Middle,Hurley,Buchanan,24620,"Schools (K-12, elementary, middle, and high)",6,6,1,14,6,8,NA,NA,14,NA,14,NA,NA,NA,0,0,NA,NA,NA,NA,14,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,14,0,NA,NA
55,Charlotte County Extension Office,Drakes Branch,Charlotte,23923,Extension offices,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Twin Valley Elementary/Middle School,Buchanan,Botetourt,24631,"Schools (K-12, elementary, middle, and high)",6,1,4,13,6,7,NA,NA,13,NA,13,NA,NA,NA,0,0,NA,NA,NA,NA,13,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,13,0,NA,NA
57,Twin Valley Elementary/Middle School,Buchanan,Botetourt,24631,"Schools (K-12, elementary, middle, and high)",6,1,6,15,6,9,NA,NA,15,NA,15,NA,NA,NA,0,0,NA,NA,NA,NA,15,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,15,0,NA,NA
58,Twin Valley Elementary/Middle School,Buchanan,Botetourt,24631,"Schools (K-12, elementary, middle, and high)",6,1,6,16,8,8,NA,NA,16,NA,16,NA,NA,NA,0,0,NA,NA,NA,NA,16,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,16,0,NA,NA
59,Hurley Elementary/Middle,Hurley,Buchanan,24620,"Schools (K-12, elementary, middle, and high)",6,1,6,16,9,7,NA,NA,16,NA,16,NA,NA,NA,0,0,NA,NA,NA,NA,16,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,16,0,NA,NA
60,Hurley Elementary/Middle,Hurley,Buchanan,24620,"Schools (K-12, elementary, middle, and high)",6,1,6,21,8,13,NA,NA,21,NA,21,NA,NA,NA,0,0,NA,NA,NA,NA,21,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,21,0,NA,NA
61,Hurley Elementary/Middle,Hurley,Buchanan,24620,"Schools (K-12, elementary, middle, and high)",6,1,6,20,10,10,NA,NA,20,NA,20,NA,NA,NA,0,0,NA,NA,NA,NA,20,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,20,0,NA,NA
62,Eureka Elementary School,Keysville,Charlotte,23947,"Schools (K-12, elementary, middle, and high)",6,1,6,19,7,12,NA,NA,19,NA,19,NA,NA,NA,0,0,NA,NA,NA,4,15,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,4,NA,15,0,NA,NA
63,Buchanan County Extension Office 106,Grundy,Buchanan,24614,,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,NA,NA
64,test 1,Christiansburg,Montgomery,24073,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,Hardin Reynolds Memorial School,Stuart,Patrick,24082,"Schools (K-12, elementary, middle, and high)",6,1,6,21,11,10,NA,NA,21,NA,NA,21,NA,NA,0,0,NA,NA,NA,1,20,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,5,NA,16,0,NA,NA
66,Eureka Elementary School,Keysville,Charlotte,23947,"Schools (K-12, elementary, middle, and high)",6,1,6,19,9,10,NA,NA,19,NA,19,NA,NA,NA,0,0,NA,NA,NA,1,18,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,7,NA,12,0,NA,NA
67,Abingdon Elementary School,Abingdon,Washington,24210,"Schools (K-12, elementary, middle, and high)",7,1,8.5,17,7,10,NA,NA,17,NA,NA,NA,NA,NA,0,0,NA,NA,NA,1,16,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,15,NA,NA,NA,1,NA,15,1,NA,NA
68,Atkins Elementary School,Marion,Smyth,24311,"Schools (K-12, elementary, middle, and high)",6,1,6,13,9,4,NA,NA,13,NA,13,NA,NA,NA,0,0,NA,NA,NA,0,13,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,13,0,NA,NA
69,Chilhowie Elementary School,Chilhowie,Smyth,24319,"Schools (K-12, elementary, middle, and high)",6,1,6,17,9,8,NA,NA,17,NA,17,NA,NA,NA,0,0,NA,NA,NA,NA,17,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,17,0,NA,NA
70,Chilhowie Elementary School,Chilhowie,Smyth,24319,"Schools (K-12, elementary, middle, and high)",6,1,6,18,9,9,NA,NA,18,NA,18,NA,NA,NA,0,0,NA,NA,NA,2,16,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,18,0,NA,NA
71,marion elementary school,Marion,Smyth,24354,"Schools (K-12, elementary, middle, and high)",6,1,6,17,11,6,NA,NA,17,NA,NA,17,NA,NA,0,0,NA,NA,NA,NA,17,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,16,0,NA,NA
72,Patrick Springs Primary School,Patrick Springs,Patrick,24133,"Schools (K-12, elementary, middle, and high)",6,1,6,21,10,11,NA,NA,21,NA,21,NA,NA,NA,0,0,NA,NA,NA,1,20,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,3,NA,18,0,NA,NA
73,Patrick Springs Primary School,Patrick Springs,Patrick,24133,"Schools (K-12, elementary, middle, and high)",6,1,6,23,12,11,NA,NA,23,NA,23,NA,NA,NA,0,0,NA,NA,NA,NA,23,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,2,NA,21,0,NA,NA
74,Feeding Greene,Stanardsville,Greene,22973,"Food assistance sites, food banks, and food pantries",6,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,4,NA,4,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,0,NA,NA
75,Atkins Elementary School,Marion,Smyth,24311,"Schools (K-12, elementary, middle, and high)",5,1,6,12,7,5,NA,NA,12,NA,12,NA,NA,NA,0,0,NA,NA,NA,0,12,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,12,0,NA,NA
76,Saltville Elementary School,Saltville,Smyth,24370,"Schools (K-12, elementary, middle, and high)",6,1,6,15,9,6,NA,NA,15,NA,15,NA,NA,NA,0,0,NA,NA,NA,NA,15,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,15,0,NA,NA
77,Sugar Grove Elementary School,Marion,Smyth,24354,"Schools (K-12, elementary, middle, and high)",6,1,6,14,6,8,NA,NA,14,NA,14,NA,NA,NA,0,0,NA,NA,NA,NA,14,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,13,0,NA,NA
78,Hampton City Social Services Department,Hampton,Hampton,23669,,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,1,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,1
79,hampton city,Hampton,Hampton,23666,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,Chesapeake Extension Office,Chesapeake,Chesapeake,23322,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,Bacon District Elementary School,Saxe,Charlotte,23967,Before and after-school programs,6,1,6,14,7,7,NA,NA,14,NA,14,NA,NA,NA,0,0,NA,NA,NA,NA,14,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,4,NA,10,0,NA,NA
82,Bacon District Elementary School,Saxe,Charlotte,23967,Before and after-school programs,6,1,6,10,5,5,NA,NA,10,NA,10,NA,NA,NA,0,0,NA,NA,NA,0,10,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,3,NA,7,0,NA,NA
83,Bacon District Elementary School,Saxe,Charlotte,23967,Before and after-school programs,6,1,6,9,4,5,NA,NA,9,NA,9,NA,NA,NA,0,0,NA,NA,NA,NA,9,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,3,NA,6,0,NA,NA
84,Bacon District Elementary School,Saxe,Charlotte,23967,Before and after-school programs,6,1,6,10,7,3,NA,NA,10,NA,10,NA,NA,NA,0,0,NA,NA,NA,NA,10,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,4,NA,6,0,NA,NA
85,Bacon District Elementary School,Saxe,Charlotte,23967,Before and after-school programs,6,1,6,12,5,7,NA,NA,12,NA,12,NA,NA,NA,0,0,NA,NA,NA,NA,12,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,5,NA,7,0,NA,NA
86,Bacon District Elementary School,Saxe,Charlotte,23967,Before and after-school programs,6,1,6,13,5,8,NA,NA,13,NA,13,NA,NA,NA,0,0,NA,NA,NA,NA,13,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,4,NA,9,0,NA,NA
87,Kenbridge Elem. School,Kenbridge,Lunenburg,23944,Schools (colleges and universities),6,1,6,16,8,8,NA,NA,16,NA,16,NA,NA,NA,0,0,NA,NA,NA,5,11,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,5,NA,12,0,NA,NA
88,Victoria Elementary School,Victoria,Lunenburg,23974,"Schools (K-12, elementary, middle, and high)",6,1,6,22,11,11,NA,NA,22,NA,22,NA,NA,NA,0,0,NA,NA,NA,0,22,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,10,NA,12,0,NA,NA
89,Victoria Elementary School,Victoria,Lunenburg,23974,"Schools (K-12, elementary, middle, and high)",6,1,6,22,9,13,NA,NA,22,NA,22,NA,NA,NA,0,0,NA,NA,NA,0,22,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,12,NA,14,0,NA,NA
